"DENOM_COMERC","CD_CVM","SETOR_ATIV","AUDITOR"
"2W ECOBANK S.A.",25224,"Energia Elétrica","KPMG AUDITORES ASSOCIADOS"
"TRIPLO A  COMPANHIA SECURITIZADORA",21954,"Securitização de Recebíveis","MOORE STEPHENS LIMA LUCCHESI AUDITORES INDEPENDENTES"
"",25291,"Petróleo e Gás","KPMG AUDITORES INDEPENDENTES LTDA."
"521 PARTICIPAÇÕES S/A",16330,"Emp. Adm. Part. - Energia Elétrica","BAKER TILLY BRASIL RJ AUDITORES INDEPENDENTES LTDA."
"524 PARTICIPACOES SA",16284,"Emp. Adm. Part. - Sem Setor Principal","BKR - LOPES, MACHADO AUDITORES"
"525 PARTICIPACOES SA",16349,"Emp. Adm. Part. - Sem Setor Principal","DIRECTA AUDITORES"
"A J RENNER",35,"Emp. Adm. Participações","ARTHUR ANDERSEN BIEDERMANN A I"
"A.P. PARTICIPAÇÕES S.A.",16802,"Emp. Adm. Participações","CANARIM AUDITORES ASSOCIADOS"
"ABC COMPUTADORES",13307,"Máquinas, Equipamentos, Veículos e Peças","RUHTRA S/C"
"ABC SUPERMERCADOS",16934,"Comércio (Atacado e Varejo)","RUHTRA S/C"
"XTAL",13005,"Máquinas, Equipamentos, Veículos e Peças","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"AYMORÉ LEASING",15270,"Arrendamento Mercantil","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"ABRIL SA",14370,"Gráficas e Editoras","RUHTRA S/C"
"ABYARA",20206,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração","TERCO AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES"
"AÃO VERDE DO BRASIL S.A",26425,"Metalurgia e Siderurgia","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"ACOPALMA CIA INDL ACOS V PALMA",60,"Metalurgia e Siderurgia","WALTER HEUER AUDITORES INDEPENDENTES"
"ANHANGUERA",78,"Metalurgia e Siderurgia","RUHTRA S/C"
"ACOS DO BRASIL",86,"Metalurgia e Siderurgia","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"PIRATINI",14508,"Metalurgia e Siderurgia","ARTHUR ANDERSEN BIEDERMANN A I"
"ACOS IPANEMA",10715,"Metalurgia e Siderurgia","ROBERTO DREYFUSS & CIA SC"
"ACOS VILLARES",108,"Metalurgia e Siderurgia","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"ACRINOR",116,"Petroquímicos e Borracha","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"ACRUX SECURITIZADORA S/A",20230,"Securitização de Recebíveis","MANDARINO & ASSOCIADOS AUDITORES"
"ACTORI PARTICIPAÇÕES S.A.",18040,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"AÇUCAR GUARANI S/A",20940,"Agricultura (Açúcar, Álcool e Cana)","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"IOCHPE ARREND MERC",7625,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ADESENE",132,"Petroquímicos e Borracha",""
"ADUBOS VIANNA",159,"Petroquímicos e Borracha","ECOPAL AUDITORES INDEPENDENTES"
"HUB COSMÉTICOS S.A.",21725,"Farmacêutico e Higiene","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.",23396,"Saneamento, Serv. Água e Gás","KPMG AUDITORES INDEPENDENTES LTDA."
"",25283,"Máquinas, Equipamentos, Veículos e Peças","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"AEROFOTO CRUZEIRO",167,"Serviços Diversos","WALTER HEUER AUDITORES INDEPENDENTES"
